zona,id_cont,calle,altura,capacidad,ruta,turno,lat,long,the_geom,cartodb_id,created_at,updated_at
1,S/N,JUNIN,442,3200,RDCLM19,MAÑANA,-34.603958,-58.396897,0101000020E6100000B5705985CD324DC02B14E97E4E4D41C0,3284,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,FOREST AV.,480,3200,,,-34.586467,-58.452917,0101000020E6100000B6662B2FF9394DC07497C459114B41C0,1400,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,HONDURAS,4761,3200,,,-34.590277,-58.427708,0101000020E6100000691EC022BF364DC05E4A5D328E4B41C0,1626,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,L2 01018,BAEZ,258,3200,,,-34.572376,-58.430704,0101000020E6100000D120054F21374DC0F581E49D434941C0,717,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,AMENABAR,1565,3200,,,-34.567826,-58.454183,0101000020E610000018B325AB223A4DC0C4E8B985AE4841C0,568,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,ECHEVERRIA,2284,3200,,,-34.562279,-58.454562,0101000020E61000008F006E162F3A4DC0211D1EC2F84741C0,1339,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
2,S/N,SOLER,4507,3200,,,-34.58811,-58.423359,0101000020E6100000CFBBB1A030364DC0AC394030474B41C0,2480,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,MORENO,1347,3200,RDCLN07,NOCHE,-34.612185,-58.385461,0101000020E610000015713AC956314DC0060DFD135C4E41C0,251,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,TALCAHUANO,1140,3200,RDCLM13,MAÑANA,-34.595221,-58.38582,0101000020E61000004512BD8C62314DC03B72A433304C41C0,2848,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
1,S/N,JUJUY AV.,135,3200,RDCLM22,MAÑANA,-34.611662,-58.405755,0101000020E61000002098A3C7EF334DC05D1ABFF04A4E41C0,3565,2014-05-15 20:08:00.314202+00,2014-05-17 14:19:23.812505+00
