etapa,calle,nro,id,direccion_normalizada,x,y,lat,long,the_geom,cartodb_id,created_at,updated_at
Etapa 7 Palermo (MTE),Santa Fe,3129,,SANTA FE AV. 3129,104962.42161,104391.931505,-34.589667,-58.409211,0101000020E6100000EC14AB0661344DC0E54350357A4B41C0,617,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Larrea,1558,,LARREA 1558,105986.880835,104477.204147,-34.588893,-58.398045,0101000020E61000000DAB7823F3324DC0F2EB87D8604B41C0,674,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1 Alt.(MTE),Charcas,5230,514,CHARCAS 5230,102931.688313,105733.980846,-34.577577,-58.43135,0101000020E610000097900F7A36374DC0FDF50A0BEE4941C0,167,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Juan m. Gutierrez,3900,437,"GUTIERREZ, JUAN MARIA 3900",104487.684612,105395.026551,-34.580627,-58.414391,0101000020E6100000DD60A8C30A354DC059164CFC514A41C0,250,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Las Heras,2362,,LAS HERAS GENERAL AV. 2362,105996.933393,104693.060426,-34.586947,-58.397937,0101000020E6100000266F8099EF324DC01FBE4C14214B41C0,672,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),URIARTE,2449,768,URIARTE 2449,103684.443867,105345.220431,-34.581079,-58.423145,0101000020E6100000A33B889D29364DC03AB2F2CB604A41C0,478,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1(MTE),Arevalo,2296,488,AREVALO 2296,102577.608214,105872.578431,-34.576329,-58.435209,0101000020E610000062F6B2EDB4374DC0425E0F26C54941C0,145,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 6 (MTE) Colegiales,Zabala,3127,,ZABALA 3127,100808.497741,106043.24776,-34.574794,-58.454489,0101000020E610000025B20FB22C3A4DC0F0F78BD9924941C0,582,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,LA PAMPA Y F ALCORTA,,,"LA PAMPA y FIGUEROA ALCORTA, PRES. AV.",102629.140625,108394.6640625,-34.553594,-58.434655,0101000020E61000007D0569C6A2374DC083A10E2BDC4641C0,777,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),NICARAGUA,4523,,NICARAGUA 4523,103562.920852,104501.84299,-34.588682,-58.424466,0101000020E6100000C921E2E654364DC037DF88EE594B41C0,458,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Recorridos Zona 1 (MTE),Cabrera,6050,428,"CABRERA, JOSE A. 6050",101876.110195,105211.547389,-34.582289,-58.442853,0101000020E6100000BEF73768AF384DC008E92972884A41C0,198,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),NICARAGUA,/ THAMES,,NICARAGUA y THAMES,103238.8515625,104801.796875,-34.585979,-58.427999,0101000020E610000040DCD5ABC8364DC04792205C014B41C0,104,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Sanchez de Bustamante,2050,,SANCHEZ DE BUSTAMANTE 2050,105161.141037,104529.300036,-34.588428,-58.407046,0101000020E6100000DBFB54151A344DC07D06D49B514B41C0,629,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1 Alt.(MTE),Av Sta Fe,5032,445,SANTA FE AV. 5032,102973.608885,105806.047118,-34.576928,-58.430893,0101000020E6100000A489778027374DC0C712D6C6D84941C0,163,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Zabala,2082,,ZABALA 2082,101567.685935,107039.511424,-34.565812,-58.446218,0101000020E61000007A71E2AB1D394DC099D711876C4841C0,413,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),SOLER,/ GODOY CRUZ,752,SOLER y GODOY CRUZ,103109.828125,105088.484375,-34.583396,-58.429406,0101000020E6100000645A9BC6F6364DC0014F5AB8AC4A41C0,102,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Segui,. Rep Arabe Siria,603,"SEGUI, JUAN FRANCISCO y REPUBLICA ARABE SIRIA",104734.046875,105691.625,-34.577953,-58.411707,0101000020E61000006344A2D0B2344DC003D0285DFA4941C0,315,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 5 (Oeste),Rivadavia,5078,,RIVADAVIA AV. 5078,102365.342803,101154.793603,-34.618857,-58.437509,0101000020E6100000535A7F4B00384DC049F3C7B4364F41C0,533,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Cnel Diaz,1660,,"DIAZ, CNEL. AV. 1660",104640.720223,104133.551508,-34.591998,-58.412716,0101000020E61000009A44BDE0D3344DC011A62897C64B41C0,588,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Cabildo,65,,CABILDO AV. 65,102453.484894,106111.217903,-34.574178,-58.436563,0101000020E610000063D2DF4BE1374DC0960A2AAA7E4941C0,343,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Sanchez de Bustamante,2254,,SANCHEZ DE BUSTAMANTE 2254,105342.058362,104716.09848,-34.586743,-58.405075,0101000020E6100000AEB6627FD9334DC0161406651A4B41C0,624,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1 Alt.(MTE),Soler,6027,512,SOLER 6027,102417.644265,105759.523899,-34.577349,-58.436952,0101000020E6100000FDF50A0BEE374DC06CB07092E64941C0,186,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Av.Cerviño,4634,452,CERVIÑO AV. 4634,103709.963624,105978.06088,-34.575375,-58.422869,0101000020E610000001BF469220364DC0CFF753E3A54941C0,234,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 1 Micro recorridos 1 Alt.(MTE),Nicaragua,5888,481,NICARAGUA 5888,102467.00457,105525.649125,-34.579457,-58.436414,0101000020E61000001EC2F869DC374DC01938A0A52B4A41C0,177,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Sanchez de Bustamante,2158,,SANCHEZ DE BUSTAMANTE 2158,105261.764351,104631.522729,-34.587506,-58.40595,0101000020E6100000D5E76A2BF6334DC0151A8865334B41C0,626,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Cabildo,616,,CABILDO AV. 616,101840.690221,106475.319641,-34.570897,-58.443241,0101000020E6100000889FFF1EBC384DC038312427134941C0,346,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Agüero ,1746,,AGUERO 1746,105274.750949,104287.133511,-34.59061,-58.405806,0101000020E6100000A2427573F1334DC06458C51B994B41C0,705,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 5 (Oeste),Acoyte,92,,ACOYTE AV. 92,102403.54404,101329.983455,-34.617277,-58.437093,0101000020E6100000BF27D6A9F2374DC058C9C7EE024F41C0,480,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Baez,365,,BAEZ 365,102887.604992,106397.459885,-34.571597,-58.431833,0101000020E6100000B22AC24D46374DC0F0BE2A172A4941C0,337,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Cerviño,3515,310,CERVIÑO AV. 3515,105016.878925,105435.157289,-34.580263,-58.408624,0101000020E61000002C2E8ECA4D344DC0180AD80E464A41C0,280,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Billinghurst,1373,,BILLINGHURST 1373,104614.286953,103897.912776,-34.594122,-58.413003,0101000020E610000030134548DD344DC0C4EA8F300C4C41C0,727,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
CV,MONROE Y F. ALCORTA,,,"MONROE y FIGUEROA ALCORTA, PRES. AV.",101937.3828125,109040.4296875,-34.547775,-58.442194,0101000020E6100000643E20D099384DC08048BF7D1D4641C0,781,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Agüero ,2346,,AGUERO 2346,105847.495652,104795.162012,-34.586028,-58.399567,0101000020E6100000C9C7EE0225334DC028452BF7024B41C0,696,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Kennedy,3010,586,"KENNEDY, JOHN FITZGERALD 3010",104092.981681,106072.056034,-34.574526,-58.418696,0101000020E6100000A67B9DD497354DC0D15966118A4941C0,297,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),ARMENIA,NICARAGUA,,ARMENIA y NICARAGUA,103487.6640625,104565.515625,-34.588109,-58.425286,0101000020E61000002CB98AC56F364DC0DCBDDC27474B41C0,419,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),NICARAGUA,gurruchaga,,NICARAGUA y GURRUCHAGA,103403.765625,104645.390625,-34.587389,-58.426201,0101000020E6100000E1421EC18D364DC0DC8310902F4B41C0,459,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),S. Ortiz,3355,600,"SCALABRINI ORTIZ, RAUL 3355",104989.822875,105636.888125,-34.578445,-58.40892,0101000020E61000001557957D57344DC072C45A7C0A4A41C0,314,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Juncal,2976,,JUNCAL 2976,105150.582708,104629.839868,-34.587522,-58.407161,0101000020E6100000749A05DA1D344DC01BD7BFEB334B41C0,627,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,Olleros,S. de la Indep,,OLLEROS AV. y SOLDADO DE LA INDEPENDENCIA,102279.6953125,107108.3671875,-34.56519,-58.438459,0101000020E610000085D1AC6C1F384DC05C035B25584841C0,391,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),GUATEMALA,4516,779,GUATEMALA 4516,103713.465211,104612.513346,-34.587684,-58.422825,0101000020E610000032772D211F364DC0F530B43A394B41C0,444,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 2 Palermo (MTE),Bulnes,2030,557,BULNES 2030,104764.889294,104609.118517,-34.58771,-58.411365,0101000020E61000000ADCBA9BA7344DC01EC4CE143A4B41C0,274,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 3 Madreselva,S. de la Independencia,505,,SOLDADO DE LA INDEPENDENCIA 505,102888.343072,106682.200111,-34.56903,-58.431826,0101000020E610000000C8091346374DC0B0389CF9D54841C0,400,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Larrea,1235,,LARREA 1235,105766.83498,103995.420815,-34.593237,-58.40044,0101000020E61000005001309E41334DC07AE3A430EF4B41C0,689,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 4 Microrecorridos (Ceibo),THAMES,2464,766,THAMES 2464,103758.504651,105285.898898,-34.581614,-58.422337,0101000020E6100000047289230F364DC0A872DA53724A41C0,473,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
Etapa 7 Palermo (MTE),Pacheco de Melo,2170,,"PACHECO DE MELO, JOSE ANDRES 2170",106144.608767,104377.111373,-34.589794,-58.396325,0101000020E610000029CB10C7BA324DC042B0AA5E7E4B41C0,636,2014-05-15 21:02:41.996774+00,2014-05-15 21:02:42.035718+00
